class,Elevation,Slope,Aspect,Curvature,TWI,Distance_to_Rivers,Annual_Rainfall,Event_Rainfall,NDVI,LULC
1,2908.0,31.367994,169.25516,-8.0,1.1864012,4867.9565,805.8133,219.01735,0.5897133,20.0
1,2220.0,13.946957,281.27673,5.0,2.7752125,5018.615,902.5543,238.02489,0.7749839,10.0
1,2230.0,18.475597,219.17871,15.0,2.7026992,4463.6533,805.8133,219.01735,0.7659085,10.0
1,2527.0,38.86425,245.04955,-6.0,0.9077416,4463.149,805.8133,219.01735,0.6331145,20.0
1,1607.0,0.0,-0.0,0.0,9.305651,1170.0,751.98224,191.77068,-0.1265823,80.0
1,1608.0,1.3133699,45.08411,2.0,4.831375,827.58685,836.44116,207.78252,-0.2693032,80.0
1,1609.0,4.731954,281.27744,7.0,5.1876535,750.0,797.48804,219.417,-0.08876561,80.0
1,1610.0,1.3133798,45.084538,-2.0,5.1190495,1080.0,836.44116,207.78252,-0.11739395,80.0
1,1661.0,2.9313073,18.486652,-6.0,4.051177,2102.784,865.9045,203.44125,0.3028307,30.0
1,1637.0,1.8599029,90.0,1.0,4.495633,2202.2942,865.9045,203.44125,0.39921427,40.0
1,1593.0,2.0779688,243.50311,18.0,7.139357,894.986,863.88776,196.77992,0.34323567,40.0
1,1646.0,2.7802885,-0.0,-8.0,3.6976516,1771.0166,864.6236,198.31412,0.32244298,40.0
1,1620.0,1.3133295,225.08235,-4.0,4.831404,1399.4285,776.1235,175.03932,0.5053923,10.0
1,1664.0,2.7802885,-0.0,5.0,4.1031165,2924.8076,864.6236,198.31412,0.46129814,40.0
1,1658.0,2.9381309,251.61522,-8.0,4.0488925,3144.2805,864.6236,198.31412,0.21334559,40.0
1,1810.0,2.7802885,-0.0,2.0,3.6976516,2979.6812,765.72406,233.42726,0.57652867,40.0
1,1832.0,2.0743136,333.36392,6.0,3.9840715,3200.3125,774.91144,242.72476,0.19637688,40.0
1,1777.0,4.632491,323.04532,3.0,4.8985796,1731.7043,756.01904,223.40785,0.226605,40.0
1,1775.0,4.6324253,36.95359,9.0,3.5993104,2214.7234,765.72406,233.42726,0.39265117,30.0
1,1817.0,2.9313295,341.51205,-6.0,3.6457043,2269.9119,765.72406,233.42726,0.42227075,40.0
1,1825.0,3.8295908,76.00543,-2.0,4.298588,3462.3691,774.91144,242.72476,0.5079098,20.0
1,1412.0,7.626708,103.99184,4.0,3.101812,1400.0714,718.3021,213.8039,0.5277968,10.0
1,1417.0,5.6240807,170.50687,-5.0,4.872796,2185.063,718.3021,213.8039,0.49004543,10.0
1,1415.0,7.3788605,180.0,-1.0,2.7295127,2322.628,718.3021,213.8039,0.38521498,40.0
